Engine Capacity (liters),Cylinders,Drive Type,Fuel Type,Horsepower (bhp),Torque (Nm),Transmission,Seating Capacity,Length (meters),Width (meters),Height (meters),Wheelbase (meters),Trunk Capacity (liters),ABS (Anti-lock Brake System),Airbags,Anti theft alarm,BA (Brake Assist),Collision Detection,Differential Lock,EBD (Electronic Brakeforce Distribution),Fire Extinguisher,First Aid Kit,Gas Shock Absorber,Hill Assist,Hill Descent Control ,Immobilizer,ISO Fix Child Seat Anchors,Lane Departure Warning,Multi Terrain Select,Parking Sensors - Front and Rear,Pedestrian airbag,Rear Camera,Surround Camera,Tire Pressure Monitoring Display,Traction Control,Variable Cylinder Management (VCM),Center Arm Rest,Central Locking,Electric Sunroof,Foldable Rear Seats with 60:40 Split,Leather Seats,Multi Information Display,Panoramic Glass Roof,Power Steering,Rear Lcd screens,Steering Tilt Adjustment,Acoustic Hood,Aluminum Wheels,Auto Headlamps,Chrome Door Handles,Chrome Exhaust Pipes,Daytime Running Lights - LED,Door Reflectors,Dual Exhaust Tip,Electric Door Mirrors,Fog Lamp - Front and Rear,Front Brakes - Ventilated Discs,LED foglights,LED Headlights,LED Taillights,Off-Road Dampers,Power Tailgate,Power Windows - Front and Rear,Wheels - Alloy,Wind Blocker,Active Steering,Automatic AC,AUX,Bluetooth,HDMI,Keyless Entry,MP3,Push Button Start,Rain Sensing Wipers,Touchscreen ,USB,Wireless Headphones,Sell your car 100% absolutely free on YallaMotor.,200+ Cars Sold Everyday.,"115,000+  Satisfied Sellers.","500,000+  Monthly Buyers.",name,price,currency,country
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ford Taurus 2021 2.0L EcoBoost Trend ,"135,174",SAR,ksa
2.0,4,Front Wheel Drive,Petrol,190,320,Automatic,5 Seater,1.842,1.427,2.820,480,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,Audi A4 2021 40 TFSI Sport (190 HP),"16,300",BHD,bahrain
2.0,4,All Wheel Drive,Petrol,252,370,Automatic,5 Seater,2.212,1.741,2.994,890,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,Audi Q7 2021 40 TFSI Design quattro (252 HP),"303,600",SAR,ksa
2.5,4,Rear Wheel Drive,Petrol,350,420,Automatic,2 Seater,1.801,1.295,2.475,150,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,Porsche 718 2021 Cayman S ,"27,356",BHD,bahrain
1600,4,Front Wheel Drive,Petrol,175,265,Automatic,5 Seater,1.850,1.655,2.670,513,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,Hyundai Tucson 2021 1.6 T-GDI TLe Limited (FWD),"564,900",EGP,egypt
1197,4,Front Wheel Drive,Petrol,113,185,CVT,5 Seater,1.795 ,1.565 ,2.640 ,377,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,Toyota C-HR 2021 1.2T Dynamic ,"450,000",EGP,egypt
5.2,12,Rear Wheel Drive,Petrol,630,700,Automatic,N A,1.940 ,1.279 ,2.805 ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Aston Martin DB11 AMR 2021 5.2T V12,"1,043,537",AED,uae
1.6,4,Front Wheel Drive,Petrol,121,151,Automatic,5 Seater,1.780,1.665,2.590,430,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,Hyundai Creta 2021 1.6L Basic,"66,990",SAR,ksa
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,N/A,All Wheel Drive,Petrol,333,440,Automatic,5 Seater,2.212,1.741,2.994,890,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,Audi Q7 2021 45 TFSI CS quattro (333 HP),"22,500",KWD,kuwait
4.6,8,All Wheel Drive,Petrol,304,439,Automatic,8 Seater,1.980,1.930,2.850,456,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,Toyota Land Cruiser 2021 4.6L EXR,"17,000",KWD,kuwait
6.2,8,Rear Wheel Drive,Petrol,495,630,Automatic,2 Seater,1.934,1.234,2.722,356,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,Chevrolet Corvette 2021 6.2L 3LT Coupe,"395,000",AED,uae
2.4,4,All Wheel Drive,Petrol,155,225,Automatic,5 Seater,1.831 ,1.694,2.670,580,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,Geely Emgrand X7 Sport 2021 2.4L Active Plus (AWD) ,"8,800",OMR,oman
1.5,4,Front Wheel Drive,Petrol,112,150,Automatic,5 Seater,1.809,1.624,2.585,448,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,MG ZS 2021 1.5L STD,"57,675",SAR,ksa
3.5,6,Rear Wheel Drive,Petrol,345,400,Manual,2 Seater,1.802,1.129,2.370,,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Lotus Exige 2021 Sport 350,"299,000",QAR,qatar
2.0,4,Rear Wheel Drive,Petrol,134,182,Automatic,3 Seater,1.800,1.700,3.085,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,Toyota Hilux 2021 2.0L Single Cab 4x2,"7,350",BHD,bahrain
