Engine Capacity (liters),Cylinders,Drive Type,Fuel Type,Horsepower (bhp),Torque (Nm),Transmission,Seating Capacity,Length (meters),Width (meters),Height (meters),Wheelbase (meters),Trunk Capacity (liters),ABS (Anti-lock Brake System),Airbags,Anti theft alarm,BA (Brake Assist),Collision Detection,Differential Lock,EBD (Electronic Brakeforce Distribution),Fire Extinguisher,First Aid Kit,Gas Shock Absorber,Hill Assist,Hill Descent Control ,Immobilizer,ISO Fix Child Seat Anchors,Lane Departure Warning,Multi Terrain Select,Parking Sensors - Front and Rear,Pedestrian airbag,Rear Camera,Surround Camera,Tire Pressure Monitoring Display,Traction Control,Variable Cylinder Management (VCM),Center Arm Rest,Central Locking,Electric Sunroof,Foldable Rear Seats with 60:40 Split,Leather Seats,Multi Information Display,Panoramic Glass Roof,Power Steering,Rear Lcd screens,Steering Tilt Adjustment,Acoustic Hood,Aluminum Wheels,Auto Headlamps,Chrome Door Handles,Chrome Exhaust Pipes,Daytime Running Lights - LED,Door Reflectors,Dual Exhaust Tip,Electric Door Mirrors,Fog Lamp - Front and Rear,Front Brakes - Ventilated Discs,LED foglights,LED Headlights,LED Taillights,Off-Road Dampers,Power Tailgate,Power Windows - Front and Rear,Wheels - Alloy,Wind Blocker,Active Steering,Automatic AC,AUX,Bluetooth,HDMI,Keyless Entry,MP3,Push Button Start,Rain Sensing Wipers,Touchscreen ,USB,Wireless Headphones,Sell your car 100% absolutely free on YallaMotor.,200+ Cars Sold Everyday.,"115,000+  Satisfied Sellers.","500,000+  Monthly Buyers.",name,price,currency,country
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Porsche Panamera Sport Turismo 2021 Turbo S E-Hybrid,"995,060",SAR,ksa
3.5,N/A,All Wheel Drive,Petrol,290,346,Automatic,7 Seater,2.095,1.777,2.866,595,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,Ford Explorer 2021 3.5L V6 Base (AWD),"206,085",SAR,ksa
3.5,6,Front Wheel Drive,Petrol,280,355,Automatic,8 Seater,1.995,1.767,3.000,1093,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,Honda Odyssey 2021 3.5L LX,"160,885",SAR,ksa
2.5,4,Front Wheel Drive,Petrol,214,221,CVT,5 Seater,1.865,1.445,2.870,454,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,Lexus ES 2021 300 Hybrid Executive,"251,505",SAR,ksa
2.0,4,All Wheel Drive,Petrol,421,500,Automatic,5 Seater,1.777,1.432,2.699,470,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,Mercedes-Benz CLA-Class 2021 CLA 45 S AMG 4MATIC+,"288,305",SAR,ksa
2.0,4,Rear Wheel Drive,Petrol,225,350,Automatic,7 Seater,5.005 ,1.932,1.875 ,2.950 ,,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,Maxus D90 2021 2.0T Elite (2WD),"84,000",SAR,ksa
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.3,6,All Wheel Drive,Petrol,318,437,Automatic,7 Seater,2.004,1.775,3.025,515,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,Ford Explorer 2021 3.3L Limited V6 Hybrid (AWD)  ,TBD,SAR,ksa
2.2,4,Rear Wheel Drive,Petrol,76,193,Manual,2 Seater,5.020,1.690,1.935,2.590,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Foton View 2021 C Panel Van,"60,000",SAR,ksa
2.5,4,Rear Wheel Drive,Petrol,147,213,Automatic,3 Seater,1.695,1.990,2.555,6000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,Nissan Urvan 2021 3-Seater Automatic (5-Door),TBD,SAR,ksa
4.0,8,All Wheel Drive,Hybrid,986,800,Automatic,2 Seater,1.972 ,1.186 ,2.650 ,74,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,Ferrari SF90 Stradale 2021 4.0T V8 Plug-in-Hybrid ,"2,090,000",SAR,ksa
